N,Np,Nc,rep,tempo_ms
1,1,1,1,582.103
1,1,1,2,976.371
1,1,1,3,553.748
1,1,1,4,457.552
1,1,1,5,608.531
1,1,1,6,627.378
1,1,1,7,533.833
1,1,1,8,533.970
1,1,1,9,1016.043
1,1,1,10,1011.101
1,1,2,1,114.767
1,1,2,2,115.464
1,1,2,3,98.194
1,1,2,4,126.651
1,1,2,5,107.368
1,1,2,6,131.734
1,1,2,7,114.071
1,1,2,8,131.985
1,1,2,9,89.146
1,1,2,10,120.096
1,1,4,1,1659.789
1,1,4,2,1791.077
1,1,4,3,1861.010
1,1,4,4,1831.862
1,1,4,5,1750.039
1,1,4,6,1938.058
1,1,4,7,1786.852
1,1,4,8,1834.994
1,1,4,9,1899.897
1,1,4,10,1775.957
1,1,8,1,4918.642
1,1,8,2,4903.031
1,1,8,3,4912.835
1,1,8,4,4879.843
1,1,8,5,4906.310
1,1,8,6,4945.797
1,1,8,7,4906.698
1,1,8,8,4903.969
1,1,8,9,4919.370
1,1,8,10,4903.787
1,2,1,1,150.826
1,2,1,2,127.199
1,2,1,3,119.812
1,2,1,4,123.382
1,2,1,5,122.370
1,2,1,6,119.070
1,2,1,7,150.075
1,2,1,8,129.913
1,2,1,9,138.053
1,2,1,10,118.878
1,4,1,1,1788.812
1,4,1,2,1951.587
1,4,1,3,1931.946
1,4,1,4,1905.041
1,4,1,5,2022.392
1,4,1,6,2031.708
1,4,1,7,1874.402
1,4,1,8,1893.594
1,4,1,9,1975.670
1,4,1,10,1882.957
1,8,1,1,4885.026
1,8,1,2,4925.147
1,8,1,3,4851.861
1,8,1,4,4824.860
1,8,1,5,4879.388
1,8,1,6,5085.527
