N,Np,Nc,media_ms,desvio_ms,execucoes
1,1,1,3716.8,597.5,10
1,1,2,3391.2,396.1,10
1,1,4,3035.5,96.0,10
1,1,8,3162.0,72.6,10
1,2,1,3139.4,107.3,10
1,4,1,3326.0,278.4,10
1,8,1,3752.6,70.3,10
10,1,1,241.3,28.3,10
10,1,2,163.2,16.8,10
10,1,4,777.6,8.8,10
10,1,8,782.6,15.7,10
10,2,1,157.5,11.6,10
10,4,1,784.5,8.3,10
10,8,1,788.7,12.3,10
100,1,1,43.0,3.1,10
100,1,2,64.1,18.2,10
100,1,4,756.7,14.2,10
100,1,8,777.6,14.1,10
100,2,1,87.4,23.9,10
100,4,1,781.6,11.3,10
100,8,1,811.4,38.7,10
1000,1,1,40.9,3.0,10
1000,1,2,36.9,6.2,10
1000,1,4,755.3,8.5,10
1000,1,8,772.9,9.7,10
1000,2,1,96.0,17.0,10
1000,4,1,774.0,19.8,10
1000,8,1,777.9,14.1,10
